Type,Advanced,Beginner,Intermediate,total,Category
"""Whore"" or ""Slut""",30,5,32,67,Gender and Sex
"""Jug""",24,3,49,76,Climbing
"""Virgin""",27,9,45,81,Gender and Sex
"""Bitch""",81,10,57,148,Gender and Sex
Slang for Vagina,72,15,81,168,Gender and Sex
"""Roof""",144,12,119,275,Climbing
"""Crimp""",209,0,106,315,Climbing
"""Overhang""",131,34,175,340,Climbing
Slang for Penis,147,37,158,342,Gender and Sex
"""Dihedral""",53,107,266,426,Climbing
"""Flake""",74,76,327,477,Climbing
Male Terms,231,48,252,531,Gender and Sex
Female Terms,361,65,391,817,Gender and Sex
Sexual Terms,468,67,479,1014,Gender and Sex
"""Slab""",231,226,964,1421,Climbing
"""Arete""",1075,155,1469,2699,Climbing
