lat,long,yds_clean_coarse,ver_clean_coarse,fa,route_name,nopm_YDS,nopm_Vermin,has_f,has_fB,has_fanat,has_fall,has_fBall,has_fallsex,has_m,has_manat,has_mall,has_mallsex,has_sex,has_fmallsex,has_eth,has_lgbt,has_drugs,has_money,has_violence,has_penis,has_bitch,has_pussy,has_whore,has_virgin,has_arete,has_slab,has_overhang,has_dihedral,has_roof,has_jug,has_crimp,has_flake,has_any,rating
 41.935,-93.5376,,3.0,Austin Bullard,Honey Hole,,V3,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 37.50668,-88.68637,9.0,,unknown,Beaver Bones,5.9,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 37.4975,-88.7187,,8.0,unknown,Beaver Eater Deluxe,,V8,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 40.69426,-89.65178,,5.0,Charlie Schneider,Breast Melk,,V5/6,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 37.5188,-89.02746,12.0,,Kerby cGhee 1990,Oily Easter Beaver,5.12a,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 37.67353,-89.51256,,3.0,unknown,Cream Beaver,,V3/4,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 47.32016,-91.21086,9.0,,"Rick Kollath, Dave Pagel",Pussyfoot,5.9+,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 47.32016,-91.21086,8.0,,Chris Holbeck,Double Breasted Anchor,5.8,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 47.32016,-91.21086,12.0,,"Taylor Krosbakken, Aug 2019",Amphitrite's Beaver,5.12b,,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 46.13257,-92.85603,,6.0,Mrs. Helke,That Girl's a Bitch,,V6,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 46.7614,-92.1726,,1.0,Adam Van Straten,Whores or S'mores,,V1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Intermediate
 46.77789,-92.12503,,1.0,unknown,The Vagina Monologue,,V1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 46.78183,-92.15915,,3.0,unknown,Funky Bitch,,V3,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 40.07037,-81.93323,,3.0,unknown,Pussy,,V3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 41.3205,-81.6182,,5.0,unknown,Left Handed Whore,,V5,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Advanced
 43.68759,-96.52161,9.0,,unknown,The Son Of A Bitch,5.9+,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 43.68759,-96.52161,8.0,,unknown,The Bitch,5.8/9,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 43.8013,-103.7624,10.0,,Eric Gilbert,Beach Whore,5.10c/d,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Intermediate
 44.29596,-103.89038,11.0,,Tyrell Ehnes,Reigning Pussies and Bitches,5.11d,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.29596,-103.89038,11.0,,Christian Baird,Bitch Fucking Rat Sticks!,5.11b/c,,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.28338,-103.89865,11.0,,Jamie Coin,Bitchin!,5.11c,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.3424,-103.92558,,3.0,craig furber,Bitch! He's Mine,,V3,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.3424,-103.92558,,0.0,craig furber,Whiney Little Bitch,,V0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Intermediate
 44.28332,-103.8988,12.0,,Lee Terveen,Whore Frost,5.12a,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Advanced
 44.27819,-103.90419,12.0,,"Harrison Tueber, Equipped by: Joel Mckillop",My Bitch Makes Pizza,5.12c,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.27819,-103.90419,12.0,,ME,My bitch ain't no lady,5.12c/d,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.27819,-103.90419,11.0,,Joel McKillop,Blowin' Kisses At Disinterested Bitches,5.11b,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
 44.4578,-103.8589,12.0,,LT equipped by: Joel mckillop,Easy Skankin,5.12c,,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Advanced
